Station,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Stasiun Geofisika Banjarnegara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,96.77,93.33,100,100,96.55,87.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77,100,90.32,90,100,93.55,100,96.77,100,100,100,100,100,100,100,100,100,100,96.55,51.61,100,96.77,93.33,100,96.77,93.33,93.55,100,93.55
Stasiun Geofisika Deli Serdang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,100,100,100,100,100,93.33,100,100,100,100,100,100,93.55,53.57,90.32,53.33,51.61,73.33,61.29,58.06,53.33,80.65,100,100,100,100,100,100,100,100,93.55,51.61,73.33,70.97,83.33,96.77,100,82.76,54.84,100,100,100,100,100,100,100,100,100
Stasiun Geofisika Denpasar,50,51.61,32.26,100,100,100,100,100,100,100,100,100,100,100,100,96.43,100,100,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,96.77,96.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77,100,100,100,100,100,100,100,96.77,100,100,100,100,100,100,54.84,100,100,100,100,100,100,100,100,100
Stasiun Geofisika Gorontalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.32,100,100,100,93.33,96.77,96.67,96.77,100,100,100,100,100,96.77,96.43,100,96.67,100,100,100,100,100,96.77,100,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,48.39,100,96.77,100,96.77,100,93.33,100,100,100
Stasiun Geofisika Gowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,3.23,0,0,86.67,100,100,100,100,100,100,96.67,100,93.55,96.67,100,100,93.55,100,100,100,100,96.77,93.33,100,93.55,100,100,100,100,100,96.43,100,100,100,100,100,100,100,100,100,100,100,100,51.61,100,100,100,87.1,19.35,96.67,100,100,100
Stasiun Geofisika Gunungsitoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.67,0,16.13,100,90.32,90,100,93.33,96.77,87.1,96.67,93.55,86.67,87.1,80.65,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77,96.67,100,100,100,100,100,100,100,96.77,100,100,51.61,100,100,100,93.55,100,100,100,100,100
Stasiun Geofisika Kendari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,100,96.77,93.33,96.77,100,96.55,100,96.67,96.77,96.67,100,100,96.67,96.77,96.67,100,100,92.86,100,93.33,100,96.67,96.77,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,48.39,100,100,83.33,100,100,100,100,83.33,100
Stasiun Geofisika Kepahiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,96.67,96.77,100,100,100,100,100,96.67,100,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.43,100,100,100,100,96.77,100,100,100,100,100,100,58.62,51.61,100,100,100,96.77,100,100,100,93.33,100
Stasiun Geofisika Kupang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.55,100,100,100,100,100,100,100,100,100,100,43.33,100,100,100,100,100,100,100,100,100,100,100,96.67,100,90.32,96.67,100,100,64.52,93.55,100,100,93.33,100,3.33,0,0,0,0,80,93.55,87.1,100,96.77,100,96.77,100,100,100,100,100,100,100,100,89.29,100,100,100,100,100,100,100,100,100,100,100,96.55,48.39,100,93.55,100,100,96.77,100,100,96.67,100
Stasiun Geofisika Lampung Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,100,100,100,100,100,100,100,77.42,100,100,100,96.67,100,100,100,100,96.67,96.77,100,100,100,100,96.77,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.33,100,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,51.61,100,100,100,100,100,100,100,100,100
Stasiun Geofisika Malang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,93.55,100,100,100,100,100,100,100,100,96.67,100,100,93.55,100,100,96.77,100,100,100,96.77,100,96.67,100,96.67,74.19,100,100,100,96.67,87.1,76.67,64.52,64.52,100,93.55,93.33,96.77,100,96.43,100,100,100,100,100,100,100,100,100,96.77,100,100,100,100,100,100,100,93.55,90,100,100,87.1
Stasiun Geofisika Maluku Tenggara Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,77.42,100,96.43,100,100,90.32,93.33,100,96.77,93.33,70.97,80,67.74,74.19,85.71,100,96.67,100,100,61.29,96.77,73.33,87.1,100,90.32,93.55,100,100,100,100,70,100,100,100,93.55,100,100,100,100,70.97,93.33,93.55,100,100,100,100,100,83.33,100
Stasiun Geofisika Manado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.16,77.42,96.67,100,86.67,87.1,100,100,100,100,100,100,100,100,100,100,100,77.42,100,100,74.19,100,100,100,100,100,100,100,100,96.77,100,100,100,100,29.03,0,100,96.77,100,90.32,93.33,96.77,100,100,100,96.67,100,100,96.77,100,70,96.77,96.67,87.1,90.32,96.43,100,96.67,100,100,96.77,100,96.67,90.32,93.33,96.77,100,100,51.61,100,100,100,100,100,100,96.77,83.33,35.48
Stasiun Geofisika Mataram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,86.67,96.77,100,96.43,100,100,96.77,100,100,100,100,96.77,100,93.55,100,100,100,96.67,96.77,96.67,100,100,100,96.77,86.67,100,100,100,96.77,100,100,100,100,100,100,100,100,96.77,100,96.55,54.84,100,100,100,100,100,76.67,100,100,100
Stasiun Geofisika Nabire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.42,100,96.43,100,100,100,86.67,54.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.26,86.67,87.1,96.67,100,100,100,100,96.67,100,100,100,48.39,100,100,100,100,100,100,100,100,96.77
Stasiun Geofisika Nganjuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,93.55,100,87.1,100,100,96.77,96.67,100,96.67,100,100,100,93.55,96.67,83.87,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,96.77,100,93.33,96.77,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70.97,100,100,100,100,93.55,93.33,96.77,90,93.55
Stasiun Geofisika Padang Panjang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.33,100,100,96.43,93.55,83.33,90.32,93.33,96.77,100,96.67,90.32,100,100,100,92.86,100,100,100,96.67,96.77,90.32,100,93.55,90,61.29,83.87,100,100,80,51.61,90,87.1,90.32,86.67,100,93.33,100,100,100,54.84,96.67,90.32,96.67,100,96.77,100,90.32,100,100
Stasiun Geofisika Palu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,74.19,100,100,100,100,100,100,100,87.1,90,100,100,100,100,100,96.77,100,100,100,100,100,80,100,100,90.32,90.32,96.43,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,48.39,100,100,100,100,93.55,100,100,100,100
Stasiun Geofisika Pasuruan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.33,100,100,100,100,100,100,100,100,100,90,96.77,96.67,100,100,100,100,100,100,100,93.55,96.77,96.67,100,93.33,100,100,100,100,100,100,100,100,100,96.67,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77,100,96.77,100,100,100,100,100
Stasiun Geofisika Sleman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.55,100,100,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,58.06,100,100,100,100,100,100,100,76.67,96.77,100,100,93.55,100,100,100,100,100,100,96.77,100,100,100,100,100,100,100,100,96.77,100,100,100,100,100,100,100,100,93.33,100,100,100,96.77,100,48.39,100,100,100,100,100,100,100,90,96.77
Stasiun Geofisika Sorong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,93.55,100,100,100,100,100,100,100,100,100,64.52,96.67,100,100,100,100,100,100,100,100,100,96.67,100,100,96.77,100,100,90.32,86.67,100,100,100,100,100,96.77,90,100,100,100,54.84,100,64.52,93.33,100,100,100,96.77,100,93.55
Stasiun Geofisika Sumba Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,100,100,100,100,33.33,100,100,90.32,100,100,100,100,100,100,96.43,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,93.33,100,100,100,100,100,48.39,100,100,100,100,100,100,100,100,100
Stasiun Geofisika Tangerang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,100,100,100,96.67,100,100,96.77,90.32,96.55,96.77,100,100,100,100,100,96.67,100,96.67,100,93.55,100,100,93.33,100,100,100,100,100,100,100,100,100,100,100,70,100,96.67,100,93.55,100,100,100,96.77,100,100,100,100,100,100,100,100,100,100,96.67,100,100,100,48.39,100,96.77,100,100,100,100,100,96.67,100
Stasiun Geofisika Ternate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,93.55,100,100,100,100,100,100,100,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77,100,100,100,100,100,100,100,100,96.77,100,93.55,100,89.29,100,100,100,100,100,100,100,100,100,100,100,100,48.39,100,100,93.33,100,100,100,74.19,100,100
Stasiun Klimatologi Bali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,100,86.67,77.42,80.65,100,96.77,100,100,100,100,100,100,100,100,100,100,93.1,70.97,96.67,100,100,100,100,100,96.77,86.67,51.61
Stasiun Klimatologi Bengkulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.65,83.33,96.77,100,100,100,33.33,0,0,0,0,36.67,67.74,86.67,93.55,87.1,68.97,48.39,100,90.32,60,100,87.1,100,100,100,100
Stasiun Klimatologi Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,90,100,96.67,100,100,85.71,90.32,73.33,96.77,96.67,100,100,70,67.74,56.67,61.29,29.03,92.86,93.55,66.67,100,86.67,100,96.77,93.33,100,96.67,100,96.77,96.55,54.84,93.33,96.77,100,100,96.77,90,93.55,66.67,100
Stasiun Klimatologi Jawa Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,96.67,100,83.33,93.55,70.97,96.43,100,100,100,60,100,100,100,83.87,93.33,100,96.77,86.21,77.42,100,100,100,100,83.87,66.67,87.1,46.67,74.19
Stasiun Klimatologi Sumatera Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,93.55,86.67,77.42,100,21.43,90.32,70,100,100,100,100,100,100,100,83.87,87.1,100,100,93.33,100,100,100,100,100,58.06,80,100,100,89.66,51.61,100,100,100,100,100,100,100,100,100
Stasiun Meteorologi Andi Jemma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,100,100,86.67,96.77,90.32,96.67,90.32,93.33,100,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,74.19,100,100,90,100,83.87,96.67,22.58,63.33,93.55
Stasiun Meteorologi Beringin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.42,96.77,100,100,100,12.9,6.67,51.61,32.26,56.67,93.55,93.33,74.19,77.42,96.43,90.32,100,100,100,100,100,100,96.77,100,100,96.77,100,54.84,100,90.32,100,100,96.77,90,96.77,36.67,0
Stasiun Meteorologi Depati Amir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13,100,100,100,100,100,100,100,73.33,90.32,100,100,80.65,66.67,90.32,48.39,100,100,96.67,100,100,100,100,96.67,100,100,100,93.55,100,51.61,100,100,100,100,100,100,90.32,43.33,96.77
Stasiun Meteorologi Depati Parbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,96.77,100,85.71,80.65,93.33,80.65,76.67,100,100,100,77.42,96.67,87.1,90.32,96.43,67.74,0,0,0,0,0,0,6.45,70,90.32,96.77,100,64.52,100,83.87,83.33,100,100,96.67,100,100,93.55
Stasiun Meteorologi Frans Kaisiepo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.67,64.52,83.33,93.55,100,10,90.32,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,89.66,58.06,100,100,100,100,100,100,93.55,93.33,100
Stasiun Meteorologi Frans Sales Lega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,100,100,96.77,100,100,96.77,93.33,100,100,100,100,100,100,100,100,100,100,96.77,90,100,100,89.66,61.29,96.67,100,100,100,100,100,90.32,90,93.55
Stasiun Meteorologi Fransiskus Xaverius Seda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.84,96.67,96.77,100,100,100,100,100,100,100,100,100,100,100,58.06,96.77,100,100,100,100,100,100,100,100,93.55,100,90.32,80.65,100,48.39,100,38.71,0,0,22.58,100,100,100,96.77
Stasiun Meteorologi H. Asan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,100,89.66,51.61,100,100,100,100,100,96.67,100,100,100
Stasiun Meteorologi H. Asan Hananjoedin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.52,100,96.77,96.77,100,100,100,96.77,100,100,100,100,100,100,100,100,100,58.06,100,100,100,100,100,100,100,100,100
Stasiun Meteorologi Hang Nadim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,6.45,0,0,40,100,100,100,96.77,96.67,83.87,100,100,90.32,100,100,90,100,83.87,96.43,96.77,93.33,100,96.67,100,90.32,100,90.32,100,100,93.55,86.21,54.84,100,100,100,100,96.77,80,100,90,93.55
Stasiun Meteorologi Iskandar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.1,100,92.86,100,96.67,100,100,100,100,100,100,100,100,100,100,96.77,100,100,100,100,100,96.67,100,96.67,96.77,100,100,100,100,100,93.33,100,100,100,100,96.67,100,100,100,51.61,93.33,100,96.67,100,96.77,96.67,90.32,80,100
Stasiun Meteorologi Juwata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,93.1,45.16,100,100,100,90.32,100,100,100,93.33,100
Stasiun Meteorologi Kalimarau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,93.55,100,100,93.55,100,100,96.67,100,100,100,100,100,93.55,100,100,100,100,100,100,100,96.77,100,96.77,96.67,100,96.77,100,54.84,96.67,96.77,100,90.32,100,96.67,100,93.33,100
Stasiun Meteorologi Kertajati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,12.9,53.33,100,100,100,100,93.33,93.55,100,100,100,100,96.77,100,77.42,83.87,96.43,93.55,100,100,93.33,87.1,96.77,93.33,90.32,100,96.77,93.55,82.76,54.84,80,100,100,96.77,90.32,93.33,77.42,90,93.55
